template_number,Name,Application,Active,Short_description,CR_Short_description,CR_Description,Implementation_plan,Backout_plan,Test_plan
ABC00001,Database Patch Deployment,Core Banking DB,true,Apply monthly DB security patches,Database patching for core DB server,"Monthly database patching to fix vulnerabilities.","1. Notify stakeholders\n2. Stop DB services\n3. Apply patches\n4. Validate health\n5. Start services","Revert to previous DB snapshot; restore backup.","Run DB health checks; query validation; transaction lifecycle testing."
ABC00002,Firewall Rule Optimization,Firewall Appliance,true,Optimize firewall rules for traffic efficiency,Firewall rule update to improve performance,"Review and optimize existing firewall ACLs.","1. Export current rules\n2. Update rule-set\n3. Apply changes in staging\n4. Push to production","Rollback to previous ACL backup.","Validate inbound/outbound traffic and application connectivity."
ABC00003,Load Balancer Health Check Update,F5 Load Balancer,true,Enhance LB health monitor configuration,Update LB monitors for better failover,"Modify LB health checks to ensure reliability.","1. Edit monitor thresholds\n2. Apply config\n3. Validate nodes","Restore previous health monitor configuration.","Simulate node failure and validate distribution."
ABC00004,API Gateway Rate Limit Update,API Gateway,true,Adjust API rate limits,Update API throttling configurations,"Modify API throttle settings.","1. Update config\n2. Redeploy gateway\n3. Verify logs","Revert to prior rate-limit config.","Test API concurrency and response time."
ABC00005,Core Banking App Deployment,Finacle,true,Deploy new application build,Release new application build for core banking,"Deploy updated application package.","1. Build deployment\n2. Run upgrade scripts\n3. Validate logs","Rollback to previous build version.","Perform end-to-end transaction validation."
ABC00006,SSL Certificate Renewal,Web Server,true,Renew expiring SSL certificates,Replace SSL certificates before expiration,"SSL/TLS certificate renewal for production services.","1. Generate CSR\n2. Install cert\n3. Restart services","Reinstall old certificate.","Browser handshake and SSL validation tests."
ABC00007,Windows Server OS Update,Windows Server,true,Apply OS patches for security,Deploy monthly Windows OS patches,"Apply OS updates to production servers.","1. Download patches\n2. Install updates\n3. Reboot server","Uninstall patches or restore snapshot.","Check service startup and system logs."
ABC00008,Email Spam Filter Enhancement,Email Gateway,true,Update spam/phishing filters,Enhance email security by updating filter rules,"Apply advanced spam filter rules.","1. Backup rules\n2. Update filters\n3. Deploy changes","Restore previous filter config.","Send test emails and validate filtering."
ABC00009,Switch Configuration Backup,Network Switch,true,Backup switch configs,Backup switch configuration regularly,"Perform configuration backup.","1. Export configs\n2. Upload to secure vault","Use last known config backup.","Verify config integrity and connectivity."
ABC00010,Monitoring Agent Upgrade,Monitoring System,true,Upgrade system monitoring agents,Install new monitoring agent version,"Improve system observability.","1. Stop agent\n2. Install update\n3. Restart agent","Reinstall previous version.","Check dashboard metrics and logs."
ABC00011,VPN Policy Update,VPN Gateway,true,Update VPN access settings,Modify VPN ACLs based on HR updates,"Apply VPN policy changes.","1. Backup config\n2. Apply policy\n3. Validate access","Rollback to old policy.","User connectivity tests."
ABC00012,Backup Retention Policy Change,Backup Server,true,Adjust backup retention schedule,Modify backup retention duration,"Update retention policy.","1. Edit retention rule\n2. Apply config","Restore old retention policy.","Backup/restore testing."
ABC00013,Proxy Configuration Update,Web Proxy,true,Update web proxy routing rules,Modify proxy rules for URL filtering,"Apply routing rule modifications.","1. Backup settings\n2. Update rules","Restore previous settings.","Validate URL access and logs."
ABC00014,Kubernetes Pod Scaling,Kubernetes Cluster,true,Increase pod count for load,Scale application pods,"Modify deployment replicas.","1. Update replica count\n2. Apply YAML","Revert replica count.","Load testing and pod readiness checks."
ABC00015,Oracle DB Index Rebuild,Oracle DB,true,Rebuild fragmented indexes,Improve DB performance by index rebuild,"Perform index maintenance.","1. Identify index\n2. Rebuild index","Restore from backup.","Query performance testing."
ABC00016,Service Restart Automation,Scheduler,true,Automate service restart jobs,Add service restart cron jobs,"Add scheduled restart task.","1. Script development\n2. Deploy job","Remove cron job.","Validate service stability."
ABC00017,Log Rotation Policy Update,Log Server,true,Modify log rotation frequency,Adjust log rotation for disk usage,"Update logrotate settings.","1. Backup config\n2. Modify rotation","Restore previous config.","Validate log creation and rotation."
ABC00018,Cloud Instance Sizing Update,AWS,true,Resize cloud compute instances,Scale up instance type,"Resize EC2 instance.","1. Stop instance\n2. Change instance type\n3. Start instance","Revert to old instance type.","Stress test CPU/memory load."
ABC00019,SFTP Key Rotation,SFTP Server,true,Rotate SSH/SFTP keys,Strengthen secure access,"Update SSH keypairs.","1. Add new key\n2. Validate login\n3. Remove old key","Restore old key.","Verify SFTP upload/download."
ABC00020,LDAP Group Cleanup,Identity Server,true,Remove inactive LDAP groups,Perform LDAP cleanup,"Delete unused groups.","1. Export group list\n2. Remove groups","Recreate groups from backup.","Authentication tests."
ABC00021,Redis Cache Flush,Redis,true,Clear stale cache data,Flush cache to resolve latency,"Flush Redis cache.","1. Backup cache keys\n2. Flush cache","Restore backup keys.","Application response tests."
ABC00022,Network Bandwidth Policy Update,Router,true,Adjust bandwidth controls,Optimize traffic shaping policy,"Update QoS settings.","1. Backup config\n2. Modify QoS\n3. Apply changes","Restore QoS profile.","Validate throughput monitoring."
ABC00023,Job Scheduler Reconfiguration,Job Scheduler,true,Update job run frequency,Adjust cron schedules,"Modify cron jobs.","1. Edit job schedule\n2. Save+reload","Revert old schedule.","Validate job execution."
ABC00024,Disk Cleanup Activity,File Server,true,Free unused disk space,Perform server disk cleanup,"Remove temp/log files.","1. Identify files\n2. Cleanup job","Restore old files if required.","Check disk usage metrics."
ABC00025,DNS Entry Update,DNS Server,true,Add/update DNS records,Modify DNS A/CNAME entries,"Apply DNS modification.","1. Add entry\n2. Refresh DNS","Remove new entries.","Ping, nslookup tests."
ABC00026,App Config File Update,Application Server,true,Update application config,Modify environment configs,"Apply config changes.","1. Backup config\n2. Deploy new config","Restore backup file.","Restart & functional validation."
ABC00027,Nginx Reverse Proxy Tune,Nginx,true,Optimize reverse proxy settings,Update Nginx configs,"Tune Nginx settings.","1. Backup conf\n2. Apply tuning","Revert conf.","Validate reverse proxy routing."
ABC00028,Service Account Password Reset,Identity Management,true,Reset system password,Rotate service account passwords,"Update password in configs.","1. Reset password\n2. Update apps","Rollback using old password.","Authentication validation."
ABC00029,RabbitMQ Queue Cleanup,RabbitMQ,true,Purge unused queues,Improve messaging performance,"Delete unused queues.","1. Identify queues\n2. Purge unused","Restore queues.","Publish/subscribe test."
ABC00030,Disk IOPS Upgrade,Storage,true,Increase disk IOPS,Upgrade storage performance,"Modify IOPS settings.","1. Change IOPS tier","Revert to old tier.","IOPS benchmark tests."
